iter	Passed	Remaining
192	17181	18428
193	17267	18335
194	17354	18244
195	17442	18154
196	17526	18059
197	17612	17968
198	17698	17876
199	17782	17782
200	17838	17660
201	17989	17632
202	18098	17563
203	18199	17485
204	18286	17394
205	18379	17308
206	18466	17217
207	18555	17128
208	18641	17036
209	18728	16945
210	18815	16853
211	18900	16761
212	18991	16673
213	19077	16581
214	19163	16489
215	19251	16399
216	19336	16306
217	19420	16213
218	19507	16122
219	19593	16031
220	19683	15942
221	19768	15850
222	19854	15758
223	19941	15668
224	20031	15580
225	20188	15542
226	20290	15463
227	20378	15372
228	20467	15283
229	20561	15197
230	20648	15106
231	20734	15014
232	20825	14926
233	20910	14833
234	21002	14746
235	21088	14654
236	21174	14562
237	21259	14471
238	21346	14379
239	21434	14289
240	21520	14198
241	21605	14106
242	21689	14013
243	21775	13921
244	21862	13831
245	21944	13737
246	22028	13645
247	22114	13553
248	22202	13464
249	22321	13393
250	22441	13322
251	22530	13231
252	22624	13145
253	22707	13052
254	22791	12959
255	22880	12870
256	22968	12780
257	23056	12690
258	23140	12597
259	23229	12508
260	23316	12417
261	23400	12325
262	23480	12231
263	23565	12139
264	23650	12048
265	23735	11956
266	23819	11865
267	23920	11781
268	24008	11691
269	24092	11600
270	24178	11509
271	24267	11420
272	24350	11328
273	24437	11237
274	24582	11173
275	24682	11089
276	24773	11000
277	24859	10909
278	24946	10819
279	25031	10727
280	25123	10639
281	25210	10549
282	25297	10458
283	25384	10368
284	25470	10277
285	25558	10187
286	25643	10096
287	25730	10006
288	25814	9914
289	25899	9824
290	25986	9733
291	26071	9642
292	26157	9552
293	26245	9462
294	26333	9372
295	26417	9281
296	26503	9191
297	26589	9101
298	26693	9016
299	26820	8940
300	26909	8850
301	26997	8760
302	27090	8672
303	27186	8585
304	27269	8493
305	27353	8402
306	27434	8310
307	27517	8219
308	27605	8129
309	27694	8040
310	27778	7949
311	27863	7858
312	27945	7767
313	28032	7677
314	28118	7587
315	28205	7497
316	28287	7406
317	28368	7315
318	28451	7224
319	28536	7134
320	28620	7043
321	28711	6955
322	28796	6864
323	28904	6780
324	29051	6704
325	29137	6614
326	29219	6522
327	29309	6433
328	29407	6346
329	29492	6255
330	29582	6166
331	29667	6076
332	29754	5986
333	29841	5896
334	29926	5806
335	30013	5716
336	30100	5627
337	30184	5536
338	30271	5447
339	30363	5358
340	30454	5269
341	30539	5179
342	30634	5090
343	30721	5001
344	30805	4911
345	30890	4821
346	30987	4732
347	31073	4643
348	31219	4562
349	31311	4473
350	31396	4382
351	31482	4293
352	31572	4203
353	31664	4114
354	31751	4024
355	31835	3934
356	31924	3845
357	32017	3756
358	32104	3666
359	32189	3576
360	32277	3487
361	32366	3397
362	32452	3307
363	32555	3219
364	32639	3129
365	32726	3040
366	32826	2951
367	32908	2861
368	32992	2771
369	33080	2682
370	33163	2592
371	33243	2502
372	33362	2414
373	33482	2327
374	33565	2237
375	33653	2148
376	33743	2058
377	33833	1969
378	33925	1879
379	34019	1790
380	34109	1700
381	34188	1610
382	34275	1521
383	34372	1432
384	34457	1342
385	34541	1252
386	34630	1163
387	34721	1073
388	34811	984
389	34899	894
390	34985	805
391	35075	715
392	35162	626
393	35248	536
394	35332	447
395	35416	357
396	35550	268
397	35679	179
398	35766	89
399	35849	0
