iter	RMSE
153	0.9701935394
154	0.9701050543
155	0.9699032985
156	0.9697900613
157	0.9696688961
158	0.9695315027
159	0.9693056705
160	0.9691853018
161	0.9690132895
162	0.9688446492
163	0.9687443693
164	0.9686129114
165	0.9684666975
166	0.9682959665
167	0.968178074
168	0.9680467168
169	0.9677834562
170	0.9676803563
171	0.9675153063
172	0.9673839049
173	0.9672526303
174	0.9670888361
175	0.9669055808
176	0.9667175511
177	0.9666320452
178	0.9665104341
179	0.9663678708
180	0.966251899
181	0.9660990089
182	0.9660461429
183	0.9659644327
184	0.9657723478
185	0.9656719563
186	0.9655282059
187	0.9654212094
188	0.965320068
189	0.9651596132
190	0.9650044682
191	0.9648928415
192	0.9647945265
193	0.9646660606
194	0.9644987024
195	0.964389243
196	0.9642135429
197	0.9640965497
198	0.9638375332
199	0.9637249905
200	0.9636769688
201	0.9635397692
202	0.9634432675
203	0.9633498404
204	0.9631801776
205	0.9630885405
206	0.963003467
207	0.9628402945
208	0.962741106
209	0.9626385778
210	0.9625350131
211	0.9624323136
212	0.962266876
213	0.9621225989
214	0.9620043174
215	0.9619036884
216	0.9617415465
217	0.9616061884
218	0.9614179882
219	0.9613392868
220	0.961172778
221	0.9610677499
222	0.9608605037
223	0.9607593246
224	0.9606699951
225	0.9604975394
226	0.9603221112
227	0.9602255502
228	0.9601270922
229	0.9599863283
230	0.9597988542
231	0.9596648886
232	0.9595699233
233	0.9594716374
234	0.9593274653
235	0.9591724934
236	0.9590401323
237	0.9589323475
238	0.9588202919
239	0.9586960658
240	0.9585990116
241	0.958484781
242	0.9583567993
243	0.9582234542
244	0.958095823
245	0.9579826347
246	0.957875749
247	0.9577837993
248	0.9577003057
249	0.9575969287
250	0.9575099207
251	0.9574053745
252	0.9572576118
253	0.9571786027
254	0.9570369495
255	0.9568858061
256	0.9567834975
257	0.9566839217
258	0.9565647433
259	0.9564510475
260	0.9563086979
261	0.9561876941
262	0.9560785252
263	0.9559366022
264	0.955808617
265	0.9557147673
266	0.9555612903
267	0.9554258152
268	0.9553255219
269	0.9551843328
270	0.9550975155
271	0.9549713325
272	0.9548802092
273	0.9547980009
274	0.9546859413
275	0.9545891769
276	0.9544664454
277	0.9543419906
278	0.9542034821
279	0.9541192832
280	0.9540445082
281	0.9539841385
282	0.9538955321
283	0.9537994446
284	0.953679852
285	0.9535803956
286	0.9534975148
287	0.9533704168
288	0.9532755194
289	0.9532012744
290	0.9530737045
291	0.9529819883
292	0.952903131
293	0.9527847889
294	0.9526968491
295	0.952564114
296	0.9524668347
297	0.9523753287
298	0.9522836521
299	0.9521507566
300	0.9520460092
301	0.9519311257
302	0.9518641012
303	0.9517544436
304	0.951663345
305	0.9515759501
306	0.9514681649
307	0.951391515
308	0.9512974917
309	0.951209991
310	0.9511074795
311	0.9510360643
312	0.9509698736
313	0.9509293023
314	0.9508351089
315	0.9507720568
316	0.9506835647
317	0.9506108645
318	0.9505020727
319	0.95038841
320	0.9503295923
321	0.9502407203
322	0.9501556436
323	0.9501028839
324	0.9500187138
325	0.9499240356
326	0.9498386292
327	0.9497109152
328	0.9496539385
329	0.9495628962
330	0.9494837677
331	0.9493863993
332	0.9493045188
333	0.9492465415
334	0.9491756754
335	0.9490997825
336	0.9490132966
337	0.948936648
338	0.9488496197
339	0.9487227721
340	0.9486520325
341	0.9486154997
342	0.9485495129
343	0.948482924
344	0.9484482255
345	0.948387207
346	0.9482843895
347	0.9482085543
348	0.9481495787
349	0.9480747125
350	0.9479704951
351	0.9479228482
352	0.947853936
353	0.9478026906
354	0.9477028797
355	0.9476135763
356	0.9475183525
357	0.9474736661
358	0.9473983684
359	0.9472909637
360	0.947210674
361	0.9471375085
362	0.9470903
363	0.9469917921
364	0.9469179793
365	0.946854145
366	0.9468152755
367	0.9467215353
368	0.9466507405
369	0.9465805209
370	0.9465088291
371	0.9464661087
372	0.9463863006
373	0.9462964097
374	0.9462174493
375	0.9461749215
376	0.9461230358
377	0.9460356697
378	0.9459443504
379	0.9458768413
380	0.9457754708
381	0.945693082
382	0.9455963141
383	0.9455439725
384	0.9454821555
385	0.945417415
386	0.9453475084
387	0.9452329169
388	0.9451674197
389	0.9450592194
390	0.9449712536
391	0.944887361
392	0.9447723083
393	0.9447053709
394	0.9446522431
395	0.944551104
396	0.9444834215
397	0.9444459297
398	0.94439053
399	0.9443023856
